"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
382745,420455,169315,165000,167474,"2012-11-21",15,167474,167474,168510,TRUE,"Дрогобицьке відділення Управління державної служби охорони при ГУ МВС України у Львівській області "
382864,420368,205547,165000,167474,"2012-11-21",15,167474,167474,168510,TRUE,"Трускавецьке міське відділення УДСО при ГУМВС України у Львівській області "
377712,420932,77470,1500000,894255,"2012-11-20",7,894255,1406714,1418994,TRUE,"Управління Державної служби охорони при ГУ МВС України в Донецькій області"
386533,446042,76048,270000,272318,"2013-01-09",25,272318,272318,272808,TRUE,"Управління Державної служби охорони при ГУ МВС України в Черкаській області"
385266,434036,93072,310000,311220,"2012-12-31",19,311220,311220,311760,TRUE,"Рівненське вище професійне училище Департаменту державної служби охорони при МВС України"
385056,433937,82950,4e+05,311220,"2012-12-28",19,311220,311220,311760,TRUE,"Управління Державної служби охорони при УМВС України в Рівненській області"
385447,436833,73308,245000,241196,"2013-01-02",27,241196,241196,241878,TRUE,"Управління Державної служби охорони при УМВС УКраїни в Чернігівській області"
385626,431830,77470,350000,337428,"2012-12-25",7,337428,337428,337980,TRUE,"Управління Державної служби охорони при ГУ МВС України в Донецькій області"
383683,430426,1074,830500,792491,"2012-12-21",6,792491,792491,796812,TRUE,"Криворізький міський відділ Управління Державної служби охорони при ГУМВС України в Дніпропетровській області"
382858,432562,4909,250000,240607,"2012-12-27",16,240607,240607,241620,TRUE,"Управління Державної служби охорони при УМВС України в Миколаївській області"
383204,446877,75740,1100000,1154855,"2013-01-15",22,1154855,1154855,1162620,TRUE,"Управління Державної служби охорони при ГУ МВС України в Харківській області"
387548,431208,149151,274800,272318,"2012-12-24",24,272318,272318,272820,TRUE,"Кам’янець-Подільське міжрайонне відділення Управління ДСО при УМВС України в Хмельницькій області"
391380,462268,81714,970623,850000,"2013-02-08",1,850000,850000,852240,TRUE,"Департамент Державної служби охорони при МВС України"
459765,528250,73217,1032240,1051380,"2013-11-01",1,1051380,1051380,1060735,TRUE,"Управління державної служби охорони при ГУ МВС України в м.Києві"
