"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","code.x","winner.x","bid.x","seller_region_id.x","code.y","winner.y","bid.y","seller_region_id.y","volume.x","volume.y","winner","loser","winner.reg","loser.reg","win_volume","lose_volume","buyer_name","winner_name","winner_id","loser_name","loser_id"
405688,461586,1741,1500000,174480,"2013-02-06",1,"23717551",TRUE,1734480,1,"30757072",FALSE,1747620,1,174480,0,"23717551","30757072",1,1,174480,1747620,"Управління освіти Деснянської районної в  місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
419678,484269,5815,256852,242265,"2013-03-22",1,"23717551",FALSE,252592.5,1,"30757072",TRUE,242265,1,0,242265,"30757072","23717551",1,1,242265,252592.5,"Спеціалізований клінічний санаторій ""Перемога""","ПП Торгпродсервіс",28006,"ПП ""Ніка-1""",16496
429743,485178,1741,4e+05,345630,"2013-03-27",1,"23717551",TRUE,345630,1,"30757072",FALSE,349860,1,345630,0,"23717551","30757072",1,1,345630,349860,"Управління освіти Деснянської районної в  місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
419673,484200,5815,372975,359000,"2013-03-22",1,"23717551",FALSE,371090,1,"30757072",TRUE,359000,1,0,359000,"30757072","23717551",1,1,359000,371090,"Спеціалізований клінічний санаторій ""Перемога""","ПП Торгпродсервіс",28006,"ПП ""Ніка-1""",16496
453721,524283,1741,1e+06,995793,"2013-10-08",1,"23717551",TRUE,995793,1,"30757072",FALSE,1017618.6,1,995793,0,"23717551","30757072",1,1,995793,1017618.6,"Управління освіти Деснянської районної в  місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
453725,516034,1741,1200000,1083360,"2013-08-13",1,"23717551",TRUE,1083360,1,"30757072",FALSE,1145520,1,1083360,0,"23717551","30757072",1,1,1083360,1145520,"Управління освіти Деснянської районної в  місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
466622,533617,1741,110000,104580,"2013-12-03",1,"23717551",TRUE,104580,1,"30757072",FALSE,107520,1,104580,0,"23717551","30757072",1,1,104580,107520,"Управління освіти Деснянської районної в  місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
497846,572996,5815,195385,177000,"2014-03-03",1,"23717551",FALSE,189960,1,"30757072",TRUE,177000,1,0,177000,"30757072","23717551",1,1,177000,189960,"Спеціалізований клінічний санаторій ""Перемога""","ПП Торгпродсервіс",28006,"ПП ""Ніка-1""",16496
497899,585846,5815,492906,465036,"2014-04-02",1,"23717551",FALSE,488783,1,"30757072",TRUE,465036,1,0,465036,"30757072","23717551",1,1,465036,488783,"Спеціалізований клінічний санаторій ""Перемога""","ПП Торгпродсервіс",28006,"ПП ""Ніка-1""",16496
497877,585786,5815,202260,199000,"2014-04-02",1,"23717551",FALSE,201840,1,"30757072",TRUE,199000,1,0,199000,"30757072","23717551",1,1,199000,201840,"Спеціалізований клінічний санаторій ""Перемога""","ПП Торгпродсервіс",28006,"ПП ""Ніка-1""",16496
