"buyer_id","part_num","volume","weighted","count","buyer_name"
379,2,643402143.52,3.10847581119044e-09,11,"Служба автомобільних доріг у Вінницькій області Державного агентства автомобільних доріг України"
1824,2,439403728.11,4.55162273793754e-09,9,"КП ""Харківський метрополітен"""
171468,2,360999860,5.54016835352789e-09,5,"КП ""Регіональний стабілізаційний фонд"" Дніпропетровської облради"
73442,2,340082638.19,5.88092356212146e-09,41,"ПАТ ""Львівобленерго"""
493,2,318306050.49,6.28326102165260e-09,13,"Комунальна корпорація ""Київавтодор"""
1249,2,302391137.55,6.61395044909113e-09,31,"Департамент будівництва та шляхового господарства Харківської міськради"
1459,2,275491009.10494,7.25976505185387e-09,13,"Українське державне підприємство ""Укрхімтрансаміак"""
217314,2,226610276,8.8257250964206e-09,34,"Департамент житлово-комунального господарства Запорізької міськради"
38,2,153555603.2,1.30245979848425e-08,29,"УПРАВЛІННЯ КАПІТАЛЬНОГО БУДІВНИЦТВА ЗАПОРІЗЬКОЇ ОБЛДЕРЖАДМІНІСТРАЦІЇ"
2274,2,147914946.6,1.35212839944331e-08,15,"Служба автомобільних доріг у Кіровоградській області Держагентства автомобільних доріг України"
11576,2,137887051.1,1.4504625228003e-08,13,"Департамент охорони здоров’я Івано-Франківської облдержадміністрації"
215,2,122404399.4,1.63392820013298e-08,10,"Управління капітального будівництва Чернівецької облдержадміністрації"
4610,2,97601773.8,2.04914308637288e-08,6,"Дніпропетровське обласне управління водних ресурсів Держводагентства України"
833,2,64530137.08,3.09932705941805e-08,5,"Служба автомобільних доріг у Тернопільській області Держагентства автомобільних доріг України"
1590,2,58789325.54,3.40197813400531e-08,17,"Державний науково-дослідний експертно-криміналістичний центр МВС України"
38264,2,53118362.92,3.76517627813971e-08,5,"ПАТ ""ЕК ""Севастопольенерго"""
1644,2,48835395.34,4.0953902104727e-08,7,"ПАТ ""ЕК ""Чернівціобленерго"""
40726,2,46750661.27,4.27801435459781e-08,11,"ПАТ ""Кіровоградобленерго"""
108128,2,42624714.7,4.69211351694983e-08,7,"Управління охорони здоров'я Рівненської облдержадміністрації"
405,2,38263528.26,5.22690951657682e-08,10,"Управління житлово-комунального господарства Кременчуцького міськвиконкому Полтавської області"
2890,2,37506834.8,5.33236145002564e-08,17,"Державне авіаційне підприємство ""Україна"" Державного управління справами"
654,2,34095230,5.86592318045662e-08,8,"Департамент житлово-комунального господарства та розвитку інфраструктури Харківської облдержадміністрації"
149940,2,33511851.86,5.9680378403296e-08,5,"Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації)"
505,2,33251358.76,6.01479179974419e-08,20,"Державне підприємство водних шляхів ""Укрводшлях"""
91581,2,32153073.24,6.22024521597488e-08,5,"Державна служба геології та надр України"
3030,2,28908187.46,6.91845520500855e-08,8,"ДУ ""Інститут патології крові та трансфузійної медицини АМН України"""
2920,2,28900505.82,6.92029410300473e-08,8,"Комунальний заклад Київської обласної ради ""Київський обласний онкологічний диспансер"""
1935,2,27237089.2,7.34292855346672e-08,38,"Управління освіти Адміністрації Дзержинського району Харківської міськради"
719,2,26786591.18,7.46642223551493e-08,7,"Публічне акціонерне товариство ""Державний ощадний банк України"""
3856,2,25378307,7.88074633977751e-08,6,"ДП ""Об’єднана дирекція будівництва водогосподарських об’єктів Закарпатської області"""
3273,2,22796787,8.77316614836994e-08,13,"Департамент охорони здоров’я Луганської обласної державної адміністрації"
27049,2,22575673.62,8.85909334828521e-08,6,"Департамент міського господарства Ужгородської міськради Закарпатської області"
